date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,ce_sell_exp,pe_sell_exp,ce_buy_exp,pe_buy_exp,tt_exp,net_PnL
27-12-24,0,23827.5,23850,185.2,168.05,234.25,114.8,315,230,StopLoss,27-12-24 9:20,27-12-24 9:56,02-01-25,Friday,4,230,22.57125,20.48109375,9.6628125,4.7355,57.45065625,257.5493438
27-12-24,1,23919.55,23900,196.55,134.6,136.75,168.8,1920,1835,StopLoss,27-12-24 10:01,27-12-24 12:18,02-01-25,Friday,4,2065,23.95453125,16.404375,5.6409375,6.963,52.96284375,1867.037156
27-12-24,2,23833.4,23850,161.85,141.7,154,125.85,1777.5,1692.5,Exit,27-12-24 12:23,27-12-24 15:20,02-01-25,Friday,4,3757.5,19.72546875,17.2696875,6.3525,5.1913125,48.53896875,1728.961031
30-12-24,0,23793.65,23800,128.8,127,163.1,93.85,-86.25,-171.25,StopLoss,30-12-24 9:20,30-12-24 10:48,02-01-25,Monday,3,-171.25,15.6975,15.478125,6.727875,3.8713125,41.7748125,-128.0248125
30-12-24,1,23833.45,23850,133.8,113.25,101.7,149.5,-311.25,-396.25,StopLoss,30-12-24 10:53,30-12-24 11:03,02-01-25,Monday,3,-567.5,16.306875,13.80234375,4.195125,6.166875,40.47121875,-351.7212188
30-12-24,2,23780.3,23800,126.55,123.15,168.5,93.65,-933.75,-1018.75,StopLoss,30-12-24 11:08,30-12-24 11:30,02-01-25,Monday,3,-1586.25,15.42328125,15.00890625,6.950625,3.8630625,41.245875,-974.995875
30-12-24,3,23847.6,23850,157.3,102.55,145.05,141.65,-2013.75,-2098.75,StopLoss,30-12-24 11:35,30-12-24 12:27,02-01-25,Monday,3,-3685,19.1709375,12.49828125,5.9833125,5.8430625,43.49559375,-2057.245594
30-12-24,4,23826.45,23850,120.85,154.8,97.6,196.4,-1376.25,-1461.25,StopLoss,30-12-24 12:32,30-12-24 13:30,02-01-25,Monday,3,-5146.25,14.72859375,18.86625,4.026,8.1015,45.72234375,-1421.972344
30-12-24,5,23724.05,23700,155.3,132.65,131.6,167.4,-828.75,-913.75,StopLoss,30-12-24 13:35,30-12-24 13:54,02-01-25,Monday,3,-6060,18.9271875,16.16671875,5.4285,6.90525,47.42765625,-876.1776563
30-12-24,6,23643.9,23650,159.45,128.1,164.65,102.3,1545,1460,Exit,30-12-24 13:59,30-12-24 15:20,02-01-25,Monday,3,-4600,19.43296875,15.6121875,6.7918125,4.219875,46.05684375,1498.943156
31-12-24,0,23562.4,23550,137.9,116.8,118.6,146,-742.5,-827.5,StopLoss,31-12-24 9:20,31-12-24 9:48,02-01-25,Tuesday,2,-827.5,16.8065625,14.235,4.89225,6.0225,41.9563125,-784.4563125
31-12-24,1,23511.85,23500,147.05,115.7,184.3,97.1,-1398.75,-1483.75,StopLoss,31-12-24 9:53,31-12-24 10:26,02-01-25,Tuesday,2,-2311.25,17.92171875,14.1009375,7.602375,4.005375,43.63040625,-1442.380406
31-12-24,2,23543.3,23550,139.3,130,178.65,110.85,-1515,-1600,StopLoss,31-12-24 10:31,31-12-24 10:53,02-01-25,Tuesday,2,-3911.25,16.9771875,15.84375,7.3693125,4.5725625,44.7628125,-1559.762813
31-12-24,3,23571.05,23550,177.8,110.3,225.8,80.25,-1346.25,-1431.25,StopLoss,31-12-24 10:58,31-12-24 13:39,02-01-25,Tuesday,2,-5342.5,21.669375,13.4428125,9.31425,3.3103125,47.73675,-1393.98675
31-12-24,4,23647.2,23650,153.85,123.5,155.1,110.75,862.5,777.5,Exit,31-12-24 13:44,31-12-24 15:20,02-01-25,Tuesday,2,-4565,18.75046875,15.0515625,6.397875,4.5684375,44.76834375,817.7316563
01-01-25,0,23660.85,23650,124.55,110.9,114.4,143,-1646.25,-1731.25,StopLoss,01-01-25 9:20,01-01-25 9:43,02-01-25,Wednesday,1,-1731.25,15.17953125,13.5159375,4.719,5.89875,39.31321875,-1685.563219
01-01-25,1,23602.6,23600,126.6,122.7,166.8,96.65,-1061.25,-1146.25,StopLoss,01-01-25 9:48,01-01-25 10:12,02-01-25,Wednesday,1,-2877.5,15.429375,14.9540625,6.8805,3.9868125,41.25075,-1102.50075
01-01-25,2,23635.55,23650,128.9,120.95,168.2,100.45,-1410,-1495,StopLoss,01-01-25 10:17,01-01-25 10:47,02-01-25,Wednesday,1,-4372.5,15.7096875,14.74078125,6.93825,4.1435625,41.53228125,-1451.532281
01-01-25,3,23673.7,23650,214.75,86.1,207.95,68.15,1856.25,1771.25,Exit,01-01-25 10:52,01-01-25 15:20,02-01-25,Wednesday,1,-2601.25,26.17265625,10.4934375,8.5779375,2.8111875,48.05521875,1808.194781
02-01-25,0,23765.1,23750,128.35,104.55,161.8,65.9,390,305,StopLoss,02-01-25 9:20,02-01-25 9:42,02-01-25,Thursday,0,305,15.64265625,12.74203125,6.67425,2.718375,37.7773125,352.2226875
02-01-25,1,23834.5,23850,89.45,113,116.9,85.25,22.5,-62.5,StopLoss,02-01-25 9:47,02-01-25 10:12,02-01-25,Thursday,0,242.5,10.90171875,13.771875,4.822125,3.5165625,33.01228125,-10.51228125
02-01-25,2,23869.3,23850,112.1,86.45,144.6,66,-903.75,-988.75,StopLoss,02-01-25 10:17,02-01-25 10:49,02-01-25,Thursday,0,-746.25,13.6621875,10.53609375,5.96475,2.7225,32.88553125,-936.6355313
02-01-25,3,23913.9,23900,116.05,80.05,161.55,50.95,-1230,-1315,StopLoss,02-01-25 10:54,02-01-25 12:25,02-01-25,Thursday,0,-2061.25,14.14359375,9.75609375,6.6639375,2.1016875,32.6653125,-1262.665313
02-01-25,4,23998.95,24000,120.6,76.75,129.45,26.8,3082.5,2997.5,TakeProfit,02-01-25 12:30,02-01-25 13:08,02-01-25,Thursday,0,936.25,14.698125,9.35390625,5.3398125,1.1055,30.49734375,3052.002656
03-01-25,0,24169.25,24150,186.85,177.4,149.95,226.05,-881.25,-966.25,StopLoss,03-01-25 9:20,03-01-25 9:44,09-01-25,Friday,4,-966.25,22.77234375,21.620625,6.1854375,9.3245625,59.90296875,-941.1529688
03-01-25,1,24083.4,24100,169.65,201.6,114.35,208.6,3622.5,3537.5,Exit,03-01-25 9:49,03-01-25 15:20,09-01-25,Friday,4,2571.25,20.67609375,24.57,4.7169375,8.60475,58.56778125,3563.932219
06-01-25,0,24022.4,24000,150.1,150.15,130.35,196.25,-1976.25,-2061.25,StopLoss,06-01-25 9:20,06-01-25 9:35,09-01-25,Monday,3,-2061.25,18.2934375,18.29953125,5.3769375,8.0953125,50.06521875,-2026.315219
06-01-25,1,24008.55,24000,129.4,208.3,161.9,162.15,1023.75,938.75,StopLoss,06-01-25 9:40,06-01-25 10:01,09-01-25,Monday,3,-1122.5,15.770625,25.3865625,6.678375,6.6886875,54.52425,969.22575
06-01-25,2,24009.25,24000,159.5,164.6,113.25,206.25,345,260,StopLoss,06-01-25 10:06,06-01-25 10:37,09-01-25,Monday,3,-862.5,19.4390625,20.060625,4.6715625,8.5078125,52.6790625,292.3209375
06-01-25,3,23922.95,23900,146.25,171.9,123.5,217.15,-1687.5,-1772.5,StopLoss,06-01-25 10:42,06-01-25 11:03,09-01-25,Monday,3,-2635,17.82421875,20.9503125,5.094375,8.9574375,52.82634375,-1740.326344
06-01-25,4,23817.45,23800,167.25,164.5,143.15,212.85,-1818.75,-1903.75,StopLoss,06-01-25 11:08,06-01-25 11:12,09-01-25,Monday,3,-4538.75,20.38359375,20.0484375,5.9049375,8.7800625,55.11703125,-1873.867031
06-01-25,5,23731.15,23750,172.05,181.9,145.05,241.55,-2448.75,-2533.75,StopLoss,06-01-25 11:17,06-01-25 11:48,09-01-25,Monday,3,-7072.5,20.96859375,22.1690625,5.9833125,9.9639375,59.08490625,-2507.834906
06-01-25,6,23663.6,23650,184.7,193.7,232,148.4,-150,-235,StopLoss,06-01-25 11:53,06-01-25 12:36,09-01-25,Monday,3,-7307.5,22.5103125,23.6071875,9.57,6.1215,61.809,-211.809
06-01-25,7,23745.5,23750,182,184,158,230.45,-1683.75,-1768.75,StopLoss,06-01-25 12:41,06-01-25 13:16,09-01-25,Monday,3,-9076.25,22.18125,22.425,6.5175,9.5060625,60.6298125,-1744.379813
06-01-25,8,23690.45,23700,179.05,209.85,141.9,271.4,-1830,-1915,StopLoss,06-01-25 13:21,06-01-25 14:39,09-01-25,Monday,3,-10991.25,21.82171875,25.57546875,5.853375,11.19525,64.4458125,-1894.445813
06-01-25,9,23565.2,23550,216.35,188.25,239.4,153.45,881.25,796.25,Exit,06-01-25 14:44,06-01-25 15:20,09-01-25,Monday,3,-10195,26.36765625,22.94296875,9.87525,6.3298125,65.5156875,815.7343125
07-01-25,0,23750.9,23750,162.95,168,96.3,146.45,6615,6530,Exit,07-01-25 9:20,07-01-25 15:20,09-01-25,Tuesday,2,6530,19.85953125,20.475,3.972375,6.0410625,50.34796875,6564.652031
08-01-25,0,23672.75,23650,110.85,97.55,59.55,121.95,2017.5,1932.5,StopLoss,08-01-25 9:20,08-01-25 10:27,09-01-25,Wednesday,1,1932.5,13.50984375,11.88890625,2.4564375,5.0304375,32.885625,1984.614375
08-01-25,1,23580.85,23600,85.2,85.9,71.45,112.55,-967.5,-1052.5,StopLoss,08-01-25 10:32,08-01-25 10:41,09-01-25,Wednesday,1,880,10.38375,10.4690625,2.9473125,4.6426875,28.4428125,-995.9428125
08-01-25,2,23570.35,23550,93.6,86.45,132.15,42.25,423.75,338.75,StopLoss,08-01-25 10:46,08-01-25 13:44,09-01-25,Wednesday,1,1218.75,11.4075,10.53609375,5.4511875,1.7428125,29.13759375,394.6124063
08-01-25,3,23629.5,23650,77.25,81.55,101.55,59.8,-191.25,-276.25,StopLoss,08-01-25 13:49,08-01-25 14:09,09-01-25,Wednesday,1,942.5,9.41484375,9.93890625,4.1889375,2.46675,26.0094375,-217.2594375
