date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL
2025-01-31,0,23294.8,23300,348.6,295.55,418.75,162.9,4687.500000000002,4622.500000000007,StopLoss,2025-01-31 09:20:00,2025-01-31 12:58:00,2025-02-06,Friday,,4622.500000000007
2025-01-31,1,23476.45,23500,285.3,232.5,285.45,216.25,1207.5000000000018,1142.5000000000043,Exit,2025-01-31 13:03:00,2025-01-31 15:20:00,2025-02-06,Friday,,5765.000000000012
2025-02-03,0,23247.15,23250,171.6,121.1,211.55,67.0,1061.2499999999982,996.2499999999966,StopLoss,2025-02-03 09:20:00,2025-02-03 13:09:00,2025-02-06,Monday,,996.2499999999966
2025-02-03,1,23351.55,23350,139.15,98.5,106.1,125.3,468.7500000000011,403.7499999999994,StopLoss,2025-02-03 13:14:00,2025-02-03 13:51:00,2025-02-06,Monday,,1399.999999999996
2025-02-03,2,23319.45,23300,140.2,100.85,168.25,77.45,-348.7500000000015,-413.7500000000032,StopLoss,2025-02-03 13:56:00,2025-02-03 15:06:00,2025-02-06,Monday,,986.2499999999927
2025-02-03,3,23359.75,23350,136.0,95.0,133.3,99.2,-112.50000000000107,-177.50000000000279,Exit,2025-02-03 15:11:00,2025-02-03 15:20:00,2025-02-06,Monday,,808.74999999999
2025-02-04,0,23514.35,23500,106.85,93.15,120.85,116.85,-2827.499999999999,-2892.500000000001,StopLoss,2025-02-04 09:20:00,2025-02-04 09:31:00,2025-02-06,Tuesday,,-2892.500000000001
2025-02-04,1,23495.15,23500,135.25,111.55,164.3,107.05,-1841.250000000001,-1906.2500000000025,StopLoss,2025-02-04 09:36:00,2025-02-04 09:39:00,2025-02-06,Tuesday,,-4798.750000000004
2025-02-04,2,23550.65,23550,146.55,126.65,125.7,152.4,-367.4999999999994,-432.5000000000011,StopLoss,2025-02-04 09:44:00,2025-02-04 10:14:00,2025-02-06,Tuesday,,-5231.250000000005
2025-02-04,3,23512.65,23500,158.75,122.1,150.6,147.05,-1260.000000000001,-1325.0000000000025,StopLoss,2025-02-04 10:19:00,2025-02-04 10:33:00,2025-02-06,Tuesday,,-6556.250000000007
2025-02-04,4,23496.0,23500,137.85,177.35,183.2,102.45,2216.25,2151.249999999998,StopLoss,2025-02-04 10:38:00,2025-02-04 11:49:00,2025-02-06,Tuesday,,-4405.000000000009
2025-02-04,5,23598.1,23600,117.2,155.15,143.75,126.0,195.00000000000063,129.99999999999892,StopLoss,2025-02-04 11:54:00,2025-02-04 13:10:00,2025-02-06,Tuesday,,-4275.00000000001
2025-02-04,6,23633.4,23650,115.6,147.4,140.7,127.05,-356.2499999999989,-421.2500000000006,StopLoss,2025-02-04 13:15:00,2025-02-04 13:34:00,2025-02-06,Tuesday,,-4696.250000000011
2025-02-04,7,23688.2,23700,113.65,151.1,90.55,96.0,5865.0,5799.999999999998,Exit,2025-02-04 13:39:00,2025-02-04 15:20:00,2025-02-06,Tuesday,,1103.7499999999873
2025-02-05,0,23751.7,23750,75.9,104.55,49.3,114.95,1215.0000000000002,1149.999999999999,Exit,2025-02-05 09:20:00,2025-02-05 15:20:00,2025-02-06,Wednesday,,1149.999999999999
2025-02-06,0,23718.0,23700,58.5,58.1,58.8,74.05,-1218.7499999999995,-1283.7499999999995,StopLoss,2025-02-06 09:20:00,2025-02-06 09:22:00,2025-02-06,Thursday,,-1283.7499999999995
2025-02-06,1,23701.15,23700,61.75,82.15,53.1,106.25,-1158.7499999999998,-1223.7500000000002,StopLoss,2025-02-06 09:27:00,2025-02-06 09:33:00,2025-02-06,Thursday,,-2507.5
2025-02-06,2,23666.25,23650,69.7,71.5,16.95,51.85,5430.0,5365.0,TakeProfit,2025-02-06 09:38:00,2025-02-06 11:01:00,2025-02-06,Thursday,,2857.5
