date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2024-12-27,4863.749999999992,3,"{'StopLoss': 2, 'Exit': 1}",4863.749999999992,3,0
2024-12-30,-3013.7500000000227,11,"{'StopLoss': 10, 'Exit': 1}",1849.999999999969,4,7
2024-12-31,-6006.250000000013,8,"{'StopLoss': 7, 'Exit': 1}",-4156.250000000044,2,6
2025-01-01,-976.2500000000132,7,"{'StopLoss': 6, 'Exit': 1}",-5132.500000000056,2,5
2025-01-02,1267.4999999999877,6,"{'StopLoss': 5, 'TakeProfit': 1}",-3865.0000000000687,2,4
2025-01-03,2644.9999999999973,5,"{'StopLoss': 4, 'Exit': 1}",-1220.0000000000714,3,2
2025-01-06,-8457.500000000022,10,"{'StopLoss': 9, 'Exit': 1}",-9677.500000000093,3,7
2025-01-07,5366.249999999993,3,"{'StopLoss': 2, 'Exit': 1}",-4311.2500000001,3,0
2025-01-08,1756.249999999989,8,"{'StopLoss': 7, 'Exit': 1}",-2555.000000000111,4,4
2025-01-09,-172.49999999999977,6,"{'StopLoss': 5, 'TakeProfit': 1}",-2727.500000000111,2,4
2025-01-10,1756.2499999999914,5,"{'StopLoss': 4, 'Exit': 1}",-971.2500000001196,2,3
2025-01-13,4446.249999999989,7,"{'StopLoss': 6, 'Exit': 1}",3474.9999999998695,5,2
2025-01-14,2008.749999999996,4,"{'StopLoss': 3, 'Exit': 1}",5483.749999999865,3,1
2025-01-15,-156.2500000000069,8,"{'StopLoss': 7, 'Exit': 1}",5327.499999999858,3,5
2025-01-16,2402.5,4,"{'StopLoss': 3, 'TakeProfit': 1}",7729.999999999858,3,1
2025-01-17,2397.4999999999923,5,"{'StopLoss': 4, 'Exit': 1}",10127.49999999985,2,3
2025-01-20,1811.2499999999948,3,"{'StopLoss': 2, 'Exit': 1}",11938.749999999845,2,1
2025-01-21,-4671.250000000015,11,{'StopLoss': 11},7267.499999999831,4,7
2025-01-22,3784.9999999999964,5,"{'StopLoss': 4, 'Exit': 1}",11052.499999999827,2,3
2025-01-23,-628.7500000000014,2,"{'StopLoss': 1, 'TakeProfit': 1}",10423.749999999825,1,1
2025-01-24,1531.2499999999882,8,"{'StopLoss': 7, 'Exit': 1}",11954.999999999814,4,4
2025-01-27,1413.7499999999927,3,"{'StopLoss': 2, 'Exit': 1}",13368.749999999807,1,2
2025-01-28,-2856.2500000000077,5,"{'StopLoss': 4, 'Exit': 1}",10512.4999999998,2,3
2025-01-29,-6436.250000000012,7,"{'StopLoss': 6, 'Exit': 1}",4076.249999999788,1,6
2025-01-30,5891.249999999998,3,"{'StopLoss': 2, 'TakeProfit': 1}",9967.499999999785,1,2
