date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL
2025-10-01,0,24622.85,24600,155.75,96.15,198.95,70.2,-1293.749999999998,StopLoss,2025-10-01 09:20:00,2025-10-01 09:48:00,2025-10-07,Wednesday,4.0,-1293.749999999998
2025-10-01,1,24691.8,24700,118.45,119.5,149.65,79.75,641.2499999999987,StopLoss,2025-10-01 09:53:00,2025-10-01 11:30:00,2025-10-07,Wednesday,4.0,-652.4999999999992
2025-10-01,2,24729.55,24750,126.05,91.8,164.45,76.6,-1739.999999999999,StopLoss,2025-10-01 11:35:00,2025-10-01 11:56:00,2025-10-07,Wednesday,4.0,-2392.499999999998
2025-10-01,3,24793.35,24800,129.9,95.85,132.35,67.2,1964.999999999999,Exit,2025-10-01 12:01:00,2025-10-01 15:20:00,2025-10-07,Wednesday,4.0,-427.4999999999991
2025-10-02,0,24759.55,24750,130.0,56.85,162.5,28.1,-281.25,StopLoss,2025-10-02 09:20:00,2025-10-03 14:37:00,2025-10-07,Thursday,3.0,-281.25
2025-10-03,0,24793.3,24800,98.1,75.55,123.7,38.9,828.7499999999987,StopLoss,2025-10-03 09:20:00,2025-10-03 14:37:00,2025-10-07,Friday,2.0,828.7499999999987
2025-10-03,1,24864.5,24850,100.7,49.95,104.5,46.25,-7.499999999999574,Exit,2025-10-03 14:42:00,2025-10-03 15:20:00,2025-10-07,Friday,2.0,821.2499999999992
2025-10-06,0,24921.3,24900,73.1,49.3,57.65,65.05,-22.499999999999787,StopLoss,2025-10-06 09:20:00,2025-10-06 09:30:00,2025-10-07,Monday,1.0,-22.499999999999787
2025-10-06,1,24888.1,24900,68.55,53.05,87.3,34.2,7.499999999999574,StopLoss,2025-10-06 09:35:00,2025-10-06 09:45:00,2025-10-07,Monday,1.0,-15.000000000000213
2025-10-06,2,24953.45,24950,63.55,50.25,79.7,37.45,-251.25000000000063,StopLoss,2025-10-06 09:50:00,2025-10-06 10:32:00,2025-10-07,Monday,1.0,-266.25000000000085
2025-10-06,3,24981.25,25000,51.75,58.2,66.75,45.0,-134.99999999999977,StopLoss,2025-10-06 10:37:00,2025-10-06 11:29:00,2025-10-07,Monday,1.0,-401.2500000000006
2025-10-06,4,25011.5,25000,65.6,45.95,83.85,34.35,-498.7499999999994,StopLoss,2025-10-06 11:34:00,2025-10-06 12:59:00,2025-10-07,Monday,1.0,-900.0
2025-10-06,5,25038.75,25050,58.5,51.45,79.1,41.9,-828.7499999999998,StopLoss,2025-10-06 13:04:00,2025-10-06 13:29:00,2025-10-07,Monday,1.0,-1728.7499999999998
2025-10-06,6,25066.15,25050,91.2,36.65,77.1,47.6,236.25000000000043,StopLoss,2025-10-06 13:34:00,2025-10-06 13:49:00,2025-10-07,Monday,1.0,-1492.4999999999993
2025-10-06,7,25058.65,25050,79.65,42.9,80.0,27.6,1121.2500000000014,Exit,2025-10-06 13:54:00,2025-10-06 15:20:00,2025-10-07,Monday,1.0,-371.24999999999795
2025-10-07,0,25083.6,25100,45.55,51.85,60.8,27.6,675.0,StopLoss,2025-10-07 09:20:00,2025-10-07 09:37:00,2025-10-07,Tuesday,0.0,675.0
2025-10-07,1,25129.1,25150,35.75,43.4,50.3,35.1,-468.75,StopLoss,2025-10-07 09:42:00,2025-10-07 09:47:00,2025-10-07,Tuesday,0.0,206.25
2025-10-07,2,25154.45,25150,65.75,29.25,28.35,43.6,1728.7499999999998,StopLoss,2025-10-07 09:52:00,2025-10-07 11:21:00,2025-10-07,Tuesday,0.0,1934.9999999999998
2025-10-07,3,25124.0,25100,52.35,27.15,36.5,37.75,393.75,StopLoss,2025-10-07 11:26:00,2025-10-07 11:35:00,2025-10-07,Tuesday,0.0,2328.75
2025-10-07,4,25100.55,25100,42.85,30.2,53.85,21.85,-198.75000000000043,StopLoss,2025-10-07 11:40:00,2025-10-07 11:45:00,2025-10-07,Tuesday,0.0,2129.9999999999995
2025-10-07,5,25128.45,25150,26.05,48.0,34.15,30.05,738.7499999999995,StopLoss,2025-10-07 11:50:00,2025-10-07 12:02:00,2025-10-07,Tuesday,0.0,2868.749999999999
2025-10-07,6,25149.35,25150,47.85,23.55,30.15,30.3,821.2500000000002,StopLoss,2025-10-07 12:07:00,2025-10-07 12:18:00,2025-10-07,Tuesday,0.0,3689.999999999999
2025-10-07,7,25147.3,25150,32.25,26.65,41.0,20.2,-172.5000000000003,StopLoss,2025-10-07 12:23:00,2025-10-07 12:28:00,2025-10-07,Tuesday,0.0,3517.4999999999986
2025-10-07,8,25164.5,25150,37.05,22.2,47.2,12.6,-41.25000000000032,StopLoss,2025-10-07 12:33:00,2025-10-07 12:59:00,2025-10-07,Tuesday,0.0,3476.2499999999986
2025-10-07,9,25174.6,25150,56.15,9.8,71.8,4.55,-779.9999999999993,StopLoss,2025-10-07 13:04:00,2025-10-07 13:40:00,2025-10-07,Tuesday,0.0,2696.249999999999
2025-10-07,10,25205.0,25200,38.55,13.8,23.5,19.0,738.7499999999995,StopLoss,2025-10-07 13:45:00,2025-10-07 13:52:00,2025-10-07,Tuesday,0.0,3434.9999999999986
2025-10-08,0,25151.25,25150,131.7,91.35,89.65,121.45,896.249999999997,StopLoss,2025-10-08 09:20:00,2025-10-08 10:57:00,2025-10-14,Wednesday,4.0,896.249999999997
2025-10-08,1,25091.65,25100,107.95,105.85,85.8,136.55,-641.2500000000009,StopLoss,2025-10-08 11:02:00,2025-10-08 11:18:00,2025-10-14,Wednesday,4.0,254.99999999999613
2025-10-08,2,25027.85,25050,116.4,104.0,151.7,69.95,-93.74999999999787,StopLoss,2025-10-08 11:23:00,2025-10-08 13:09:00,2025-10-14,Wednesday,4.0,161.24999999999827
2025-10-08,3,25096.3,25100,120.25,94.3,83.55,123.55,558.7500000000013,StopLoss,2025-10-08 13:14:00,2025-10-08 14:50:00,2025-10-14,Wednesday,4.0,719.9999999999995
2025-10-08,4,25048.7,25050,112.5,92.45,106.2,92.4,476.24999999999744,Exit,2025-10-08 14:55:00,2025-10-08 15:20:00,2025-10-14,Wednesday,4.0,1196.249999999997
2025-10-09,0,25083.35,25100,101.9,95.7,131.25,66.0,26.250000000001705,StopLoss,2025-10-09 09:20:00,2025-10-09 11:01:00,2025-10-14,Thursday,3.0,26.250000000001705
2025-10-09,1,25126.6,25150,97.2,89.3,122.15,73.5,-686.2500000000005,StopLoss,2025-10-09 11:06:00,2025-10-09 11:09:00,2025-10-14,Thursday,3.0,-659.9999999999987
2025-10-09,2,25151.05,25150,121.1,72.45,118.2,59.35,1200.0,Exit,2025-10-09 11:14:00,2025-10-09 15:20:00,2025-10-14,Thursday,3.0,540.0000000000013
2025-10-10,0,25214.05,25200,113.3,63.3,154.1,44.1,-1619.9999999999995,StopLoss,2025-10-10 09:20:00,2025-10-10 09:44:00,2025-10-14,Friday,2.0,-1619.9999999999995
2025-10-10,1,25268.1,25250,129.4,56.6,163.75,43.1,-1563.7499999999995,StopLoss,2025-10-10 09:49:00,2025-10-10 11:14:00,2025-10-14,Friday,2.0,-3183.749999999999
2025-10-10,2,25309.95,25300,123.5,59.7,97.3,53.4,2437.5,Exit,2025-10-10 11:19:00,2025-10-10 15:20:00,2025-10-14,Friday,2.0,-746.2499999999991
2025-10-13,0,25206.5,25200,92.4,67.5,72.0,89.05,-86.25000000000043,StopLoss,2025-10-13 09:20:00,2025-10-13 09:31:00,2025-10-14,Monday,1.0,-86.25000000000043
2025-10-13,1,25165.5,25150,93.35,66.9,118.65,48.95,-551.2500000000017,StopLoss,2025-10-13 09:36:00,2025-10-13 09:44:00,2025-10-14,Monday,1.0,-637.5000000000022
2025-10-13,2,25216.25,25200,94.95,61.25,73.85,77.05,397.50000000000085,StopLoss,2025-10-13 09:49:00,2025-10-13 10:06:00,2025-10-14,Monday,1.0,-240.0000000000013
2025-10-13,3,25182.7,25200,82.6,67.0,60.05,83.85,427.50000000000125,StopLoss,2025-10-13 10:11:00,2025-10-13 11:23:00,2025-10-14,Monday,1.0,187.49999999999994
2025-10-13,4,25170.8,25150,87.5,59.8,109.8,33.55,296.25000000000125,StopLoss,2025-10-13 11:28:00,2025-10-13 14:06:00,2025-10-14,Monday,1.0,483.7500000000012
2025-10-13,5,25217.15,25200,76.25,49.7,97.65,35.2,-517.5000000000015,StopLoss,2025-10-13 14:11:00,2025-10-13 14:26:00,2025-10-14,Monday,1.0,-33.750000000000284
