date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,,ce_sell_exp,put_sell_exp,ce_buy_exp,pe_buy_exp,exp,net
27-12-24,0,23827.5,23850,185.2,168.05,234.25,114.8,315,230,StopLoss,27-12-24 9:20,27-12-24 9:56,02-01-25,Friday,4,230,,22.57125,20.4836145,0.987012375,0.4837098,44.52558668,270.4744133
27-12-24,1,23919.55,23900,196.55,134.6,136.75,168.8,1920,1835,StopLoss,27-12-24 10:01,27-12-24 12:18,02-01-25,Friday,4,2065,,23.95453125,16.406394,0.576196125,0.7112388,41.64836018,1878.35164
27-12-24,2,23833.4,23850,161.85,141.7,154,125.85,1777.5,1692.5,Exit,27-12-24 12:23,27-12-24 15:20,02-01-25,Friday,4,3757.5,,19.72546875,17.271813,0.648879,0.530268975,38.17642973,1739.32357
30-12-24,0,23793.65,23800,128.8,127,163.1,93.85,-86.25,-171.25,StopLoss,30-12-24 9:20,30-12-24 10:48,02-01-25,Monday,3,-171.25,,15.6975,15.48003,0.68722185,0.395436975,32.26018883,-118.5101888
30-12-24,1,23833.45,23850,133.8,113.25,101.7,149.5,-311.25,-396.25,StopLoss,30-12-24 10:53,30-12-24 11:03,02-01-25,Monday,3,-567.5,,16.306875,13.8040425,0.42851295,0.62991825,31.1693487,-342.4193487
30-12-24,2,23780.3,23800,126.55,123.15,168.5,93.65,-933.75,-1018.75,StopLoss,30-12-24 11:08,30-12-24 11:30,02-01-25,Monday,3,-1586.25,,15.42328125,15.0107535,0.70997475,0.394594275,31.53860378,-965.2886038
30-12-24,3,23847.6,23850,157.3,102.55,145.05,141.65,-2013.75,-2098.75,StopLoss,30-12-24 11:35,30-12-24 12:27,02-01-25,Monday,3,-3685,,19.1709375,12.4998195,0.611168175,0.596842275,32.87876745,-2046.628767
30-12-24,4,23826.45,23850,120.85,154.8,97.6,196.4,-1376.25,-1461.25,StopLoss,30-12-24 12:32,30-12-24 13:30,02-01-25,Monday,3,-5146.25,,14.72859375,18.868572,0.4112376,0.8275314,34.83593475,-1411.085935
30-12-24,5,23724.05,23700,155.3,132.65,131.6,167.4,-828.75,-913.75,StopLoss,30-12-24 13:35,30-12-24 13:54,02-01-25,Monday,3,-6060,,18.9271875,16.1687085,0.5544966,0.7053399,36.3557325,-865.1057325
30-12-24,6,23643.9,23650,159.45,128.1,164.65,102.3,1545,1460,Exit,30-12-24 13:59,30-12-24 15:20,02-01-25,Monday,3,-4600,,19.43296875,15.614109,0.693752775,0.43104105,36.17187158,1508.828128
31-12-24,0,23562.4,23550,137.9,116.8,118.6,146,-742.5,-827.5,StopLoss,31-12-24 9:20,31-12-24 9:48,02-01-25,Tuesday,2,-827.5,,16.8065625,14.236752,0.4997211,0.615171,32.1582066,-774.6582066
31-12-24,1,23511.85,23500,147.05,115.7,184.3,97.1,-1398.75,-1483.75,StopLoss,31-12-24 9:53,31-12-24 10:26,02-01-25,Tuesday,2,-2311.25,,17.92171875,14.102673,0.77654805,0.40913085,33.21007065,-1431.960071
31-12-24,2,23543.3,23550,139.3,130,178.65,110.85,-1515,-1600,StopLoss,31-12-24 10:31,31-12-24 10:53,02-01-25,Tuesday,2,-3911.25,,16.9771875,15.8457,0.752741775,0.467066475,34.04269575,-1549.042696
31-12-24,3,23571.05,23550,177.8,110.3,225.8,80.25,-1346.25,-1431.25,StopLoss,31-12-24 10:58,31-12-24 13:39,02-01-25,Tuesday,2,-5342.5,,21.669375,13.444467,0.9514083,0.338133375,36.40338368,-1382.653384
31-12-24,4,23647.2,23650,153.85,123.5,155.1,110.75,862.5,777.5,Exit,31-12-24 13:44,31-12-24 15:20,02-01-25,Tuesday,2,-4565,,18.75046875,15.053415,0.65351385,0.466645125,34.92404273,827.5759573
01-01-25,0,23660.85,23650,124.55,110.9,114.4,143,-1646.25,-1731.25,StopLoss,01-01-25 9:20,01-01-25 9:43,02-01-25,Wednesday,1,-1731.25,,15.17953125,13.517601,0.4820244,0.6025305,29.78168715,-1676.031687
01-01-25,1,23602.6,23600,126.6,122.7,166.8,96.65,-1061.25,-1146.25,StopLoss,01-01-25 9:48,01-01-25 10:12,02-01-25,Wednesday,1,-2877.5,,15.429375,14.955903,0.7028118,0.407234775,31.49532458,-1092.745325
