date,PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2025-10-01,-427.4999999999991,4,"{'StopLoss': 3, 'Exit': 1}",-427.4999999999991,2,2
2025-10-02,-281.25,1,{'StopLoss': 1},-708.7499999999991,0,1
2025-10-03,821.2499999999992,2,"{'StopLoss': 1, 'Exit': 1}",112.50000000000011,1,1
2025-10-06,-371.24999999999795,8,"{'StopLoss': 7, 'Exit': 1}",-258.74999999999784,3,5
2025-10-07,3434.9999999999986,11,{'StopLoss': 11},3176.250000000001,6,5
2025-10-08,1196.249999999997,5,"{'StopLoss': 4, 'Exit': 1}",4372.499999999998,3,2
2025-10-09,540.0000000000013,3,"{'StopLoss': 2, 'Exit': 1}",4912.499999999999,2,1
2025-10-10,-746.2499999999991,3,"{'StopLoss': 2, 'Exit': 1}",4166.25,1,2
2025-10-13,907.4999999999995,8,"{'StopLoss': 7, 'Exit': 1}",5073.75,5,3
2025-10-14,2445.000000000001,10,"{'StopLoss': 9, 'TakeProfit': 1}",7518.750000000001,6,4
2025-10-15,-795.0000000000018,2,"{'StopLoss': 1, 'Exit': 1}",6723.749999999999,1,1
2025-10-16,-3510.000000000005,4,"{'StopLoss': 3, 'Exit': 1}",3213.749999999994,1,3
2025-10-17,-2433.749999999999,9,"{'StopLoss': 8, 'Exit': 1}",779.999999999995,5,4
2025-10-20,1492.500000000006,7,"{'StopLoss': 6, 'TakeProfit': 1}",2272.500000000001,4,3
