date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2024-12-27,3772.5000000000073,3,"{'StopLoss': 2, 'Exit': 1}",3772.5000000000073,3,0
2024-12-30,-4564.999999999987,7,"{'StopLoss': 6, 'Exit': 1}",-792.49999999998,1,6
2024-12-31,-4539.999999999991,5,"{'StopLoss': 4, 'Exit': 1}",-5332.499999999971,1,4
2025-01-01,-2581.2499999999973,4,"{'StopLoss': 3, 'Exit': 1}",-7913.749999999968,1,3
2025-01-02,961.2499999999982,5,"{'StopLoss': 4, 'TakeProfit': 1}",-6952.49999999997,2,3
2025-01-03,2581.2500000000064,2,"{'StopLoss': 1, 'Exit': 1}",-4371.249999999964,1,1
2025-01-06,-10144.999999999967,10,"{'StopLoss': 9, 'Exit': 1}",-14516.24999999993,3,7
2025-01-07,6535.000000000003,1,{'Exit': 1},-7981.249999999928,1,0
2025-01-08,1976.2499999999952,6,"{'StopLoss': 5, 'Exit': 1}",-6004.999999999933,3,3
2025-01-09,2247.4999999999986,2,"{'StopLoss': 1, 'TakeProfit': 1}",-3757.499999999934,1,1
2025-01-10,1067.500000000009,4,"{'StopLoss': 3, 'Exit': 1}",-2689.999999999925,3,1
2025-01-13,4731.250000000012,4,"{'StopLoss': 3, 'Exit': 1}",2041.2500000000869,4,0
2025-01-14,1446.2499999999995,4,"{'StopLoss': 3, 'Exit': 1}",3487.5000000000864,3,1
2025-01-15,621.2499999999927,7,"{'StopLoss': 6, 'Exit': 1}",4108.750000000079,4,3
2025-01-16,1537.4999999999986,3,"{'StopLoss': 2, 'TakeProfit': 1}",5646.250000000078,2,1
2025-01-17,-604.9999999999873,4,"{'StopLoss': 3, 'Exit': 1}",5041.250000000091,1,3
2025-01-20,1128.750000000006,3,"{'StopLoss': 2, 'Exit': 1}",6170.000000000096,2,1
2025-01-21,-11781.249999999969,11,{'StopLoss': 11},-5611.249999999873,2,9
2025-01-22,4813.749999999999,1,{'TakeProfit': 1},-797.4999999998736,1,0
2025-01-23,-808.7500000000016,2,"{'StopLoss': 1, 'TakeProfit': 1}",-1606.2499999998752,1,1
2025-01-24,916.2500000000156,5,"{'StopLoss': 4, 'Exit': 1}",-689.9999999998596,2,3
2025-01-27,945.0000000000068,3,"{'StopLoss': 2, 'Exit': 1}",255.00000000014722,1,2
2025-01-28,-3081.249999999988,5,"{'StopLoss': 4, 'Exit': 1}",-2826.249999999841,2,3
2025-01-29,-6992.499999999989,5,"{'StopLoss': 4, 'Exit': 1}",-9818.749999999829,1,4
2025-01-30,6270.000000000002,3,"{'StopLoss': 2, 'TakeProfit': 1}",-3548.749999999827,2,1
2025-01-31,5390.000000000011,2,"{'StopLoss': 1, 'Exit': 1}",1841.2500000001837,2,0
2025-02-03,1765.000000000001,1,{'Exit': 1},3606.2500000001846,1,0
2025-02-04,-1069.999999999991,7,"{'StopLoss': 6, 'Exit': 1}",2536.2500000001937,2,5
2025-02-05,1134.9999999999993,1,{'Exit': 1},3671.250000000193,1,0
2025-02-06,2733.749999999999,3,"{'StopLoss': 2, 'TakeProfit': 1}",6405.000000000192,1,2
2025-02-07,6823.750000000002,1,{'Exit': 1},13228.750000000193,1,0
2025-02-10,2637.500000000006,2,"{'StopLoss': 1, 'Exit': 1}",15866.250000000198,2,0
2025-02-11,207.50000000000725,5,"{'StopLoss': 4, 'Exit': 1}",16073.750000000206,1,4
2025-02-12,-6549.999999999994,11,{'StopLoss': 11},9523.750000000211,3,8
2025-02-13,4303.749999999996,4,"{'StopLoss': 3, 'TakeProfit': 1}",13827.500000000207,3,1
2025-02-14,-111.24999999998545,5,"{'StopLoss': 4, 'Exit': 1}",13716.250000000222,2,3
2025-02-17,-1859.9999999999811,6,"{'StopLoss': 5, 'Exit': 1}",11856.25000000024,2,4
2025-02-18,4706.2500000000055,3,"{'StopLoss': 2, 'Exit': 1}",16562.500000000247,3,0
2025-02-19,1568.750000000001,8,"{'StopLoss': 7, 'Exit': 1}",18131.250000000247,6,2
2025-02-20,2964.999999999999,1,{'TakeProfit': 1},21096.250000000247,1,0
2025-02-21,2411.25000000001,3,"{'StopLoss': 2, 'Exit': 1}",23507.50000000026,1,2
2025-02-24,5248.750000000001,1,{'Exit': 1},28756.25000000026,1,0
2025-02-25,2853.749999999999,3,"{'StopLoss': 2, 'Exit': 1}",31610.00000000026,3,0
2025-02-26,343.74999999999983,1,{'StopLoss': 1},31953.75000000026,1,0
2025-02-27,1803.7499999999998,3,"{'StopLoss': 2, 'TakeProfit': 1}",33757.500000000255,2,1
2025-02-28,583.7500000000106,4,"{'StopLoss': 3, 'Exit': 1}",34341.25000000026,2,2
2025-03-03,-2042.4999999999982,5,"{'StopLoss': 4, 'Exit': 1}",32298.750000000262,1,4
2025-03-04,-3185.000000000002,4,"{'StopLoss': 3, 'Exit': 1}",29113.750000000262,1,3
2025-03-05,-3031.2500000000064,7,"{'StopLoss': 6, 'Exit': 1}",26082.500000000255,4,3
2025-03-06,-3111.2500000000055,11,{'StopLoss': 11},22971.250000000247,4,7
2025-03-07,153.75000000000597,3,"{'StopLoss': 2, 'Exit': 1}",23125.000000000255,2,1
2025-03-10,816.2500000000066,4,"{'StopLoss': 3, 'Exit': 1}",23941.250000000262,3,1
2025-03-11,487.500000000005,6,"{'StopLoss': 5, 'Exit': 1}",24428.750000000266,4,2
2025-03-12,1338.7499999999932,6,"{'StopLoss': 5, 'Exit': 1}",25767.50000000026,3,3
2025-03-13,3807.499999999998,8,"{'StopLoss': 7, 'TakeProfit': 1}",29575.000000000255,4,4
2025-03-17,-1997.4999999999955,5,"{'StopLoss': 4, 'Exit': 1}",27577.50000000026,1,4
2025-03-18,-3068.7499999999955,4,"{'StopLoss': 3, 'Exit': 1}",24508.750000000262,1,3
2025-03-19,-2841.2500000000023,8,"{'StopLoss': 7, 'Exit': 1}",21667.50000000026,1,7
2025-03-20,-707.5000000000042,8,"{'StopLoss': 7, 'TakeProfit': 1}",20960.000000000255,4,4
2025-03-21,-202.49999999999727,3,"{'StopLoss': 2, 'Exit': 1}",20757.50000000026,1,2
2025-03-24,-4232.499999999992,5,"{'StopLoss': 4, 'Exit': 1}",16525.000000000266,1,4
2025-03-25,6822.500000000007,5,"{'StopLoss': 4, 'Exit': 1}",23347.500000000273,4,1
2025-03-26,-630.0000000000059,9,"{'StopLoss': 8, 'Exit': 1}",22717.500000000266,3,6
2025-03-27,3084.999999999998,7,"{'StopLoss': 6, 'TakeProfit': 1}",25802.500000000262,4,3
2025-03-28,4571.250000000013,6,"{'StopLoss': 5, 'Exit': 1}",30373.750000000276,4,2
2025-03-31,-1891.2499999999982,1,{'StopLoss': 1},28482.500000000276,0,1
2025-04-01,-1714.9999999999968,7,"{'StopLoss': 6, 'Exit': 1}",26767.50000000028,1,6
2025-04-02,2123.749999999997,5,"{'StopLoss': 4, 'Exit': 1}",28891.250000000276,3,2
2025-04-03,2592.4999999999977,2,"{'StopLoss': 1, 'TakeProfit': 1}",31483.750000000273,1,1
2025-04-11,-4683.74999999999,3,"{'StopLoss': 2, 'Exit': 1}",26800.000000000284,1,2
2025-04-14,6947.5,1,{'Exit': 1},33747.500000000284,1,0
2025-04-15,7138.75,1,{'Exit': 1},40886.250000000284,1,0
2025-04-16,-2720.0000000000055,7,"{'StopLoss': 6, 'Exit': 1}",38166.25000000028,3,4
2025-04-17,-2980.0000000000027,11,{'StopLoss': 11},35186.25000000028,2,9
2025-04-21,6558.750000000009,3,"{'StopLoss': 2, 'Exit': 1}",41745.000000000284,3,0
2025-04-22,2271.2499999999973,4,"{'StopLoss': 3, 'Exit': 1}",44016.250000000284,3,1
2025-04-23,-3088.7500000000077,11,"{'StopLoss': 10, 'Exit': 1}",40927.50000000028,4,7
2025-04-24,3057.499999999997,8,"{'StopLoss': 7, 'TakeProfit': 1}",43985.00000000028,4,4
2025-05-02,-156.24999999997578,8,"{'StopLoss': 7, 'Exit': 1}",43828.7500000003,4,4
2025-05-05,4535.000000000004,2,"{'StopLoss': 1, 'Exit': 1}",48363.750000000306,2,0
2025-05-06,1227.4999999999993,2,"{'StopLoss': 1, 'Exit': 1}",49591.250000000306,1,1
2025-05-07,1588.7499999999914,10,"{'StopLoss': 9, 'Exit': 1}",51180.0000000003,6,4
2025-05-08,3343.7499999999995,1,{'TakeProfit': 1},54523.7500000003,1,0
2025-05-09,3525.0000000000114,3,"{'StopLoss': 2, 'Exit': 1}",58048.75000000031,2,1
2025-05-12,-6694.999999999991,4,"{'StopLoss': 3, 'Exit': 1}",51353.75000000032,1,3
2025-05-13,5162.50000000002,7,"{'StopLoss': 6, 'Exit': 1}",56516.25000000034,3,4
2025-05-14,2354.9999999999964,6,"{'StopLoss': 5, 'Exit': 1}",58871.250000000335,4,2
2025-05-15,-7086.250000000009,11,{'StopLoss': 11},51785.00000000033,4,7
2025-05-16,3130.000000000004,1,{'Exit': 1},54915.000000000335,1,0
2025-05-19,2255.0000000000073,2,"{'StopLoss': 1, 'Exit': 1}",57170.00000000034,2,0
2025-05-20,330.0000000000075,6,"{'StopLoss': 5, 'Exit': 1}",57500.00000000035,4,2
2025-05-21,-6321.249999999996,11,{'StopLoss': 11},51178.75000000035,2,9
2025-05-22,4138.750000000001,1,{'TakeProfit': 1},55317.50000000035,1,0
2025-05-23,-4764.999999999985,5,"{'StopLoss': 4, 'Exit': 1}",50552.500000000364,2,3
2025-05-26,-497.4999999999932,2,"{'StopLoss': 1, 'Exit': 1}",50055.00000000037,1,1
2025-05-27,1773.7500000000205,6,"{'StopLoss': 5, 'Exit': 1}",51828.75000000039,3,3
2025-05-28,11780.000000000005,2,"{'StopLoss': 1, 'Exit': 1}",63608.7500000004,2,0
2025-05-29,2501.2499999999936,9,"{'StopLoss': 8, 'TakeProfit': 1}",66110.0000000004,5,4
2025-05-30,-977.4999999999916,2,"{'StopLoss': 1, 'Exit': 1}",65132.5000000004,1,1
2025-06-02,-828.7499999999877,3,"{'StopLoss': 2, 'Exit': 1}",64303.750000000415,1,2
2025-06-03,10388.750000000005,2,"{'StopLoss': 1, 'Exit': 1}",74692.50000000042,1,1
2025-06-04,4509.999999999999,1,{'Exit': 1},79202.50000000042,1,0
2025-06-05,1377.4999999999984,2,"{'StopLoss': 1, 'TakeProfit': 1}",80580.00000000042,2,0
2025-06-06,-2581.2499999999905,4,"{'StopLoss': 3, 'Exit': 1}",77998.75000000044,1,3
2025-06-09,3328.7500000000045,1,{'Exit': 1},81327.50000000044,1,0
2025-06-10,4525.0,1,{'Exit': 1},85852.50000000044,1,0
2025-06-11,-436.2500000000037,4,"{'StopLoss': 3, 'Exit': 1}",85416.25000000044,3,1
2025-06-12,-8083.750000000007,11,{'StopLoss': 11},77332.50000000044,2,9
2025-06-13,1401.2500000000055,1,{'Exit': 1},78733.75000000044,1,0
2025-06-16,-54.999999999995964,2,"{'StopLoss': 1, 'Exit': 1}",78678.75000000044,1,1
2025-06-17,3182.5000000000023,1,{'Exit': 1},81861.25000000044,1,0
2025-06-18,-975.0000000000023,6,"{'StopLoss': 5, 'Exit': 1}",80886.25000000044,2,4
2025-06-19,1001.2499999999986,3,"{'StopLoss': 2, 'TakeProfit': 1}",81887.50000000044,2,1
2025-06-20,-2823.7499999999923,3,"{'StopLoss': 2, 'Exit': 1}",79063.75000000045,1,2
2025-06-23,-756.2499999999902,5,"{'StopLoss': 4, 'Exit': 1}",78307.50000000047,1,4
2025-06-24,-428.74999999999,10,"{'StopLoss': 9, 'Exit': 1}",77878.75000000048,3,7
2025-06-25,971.2499999999977,3,"{'StopLoss': 2, 'Exit': 1}",78850.00000000048,2,1
2025-06-26,-4322.500000000008,11,{'StopLoss': 11},74527.50000000047,3,8
2025-06-27,2706.2500000000036,1,{'Exit': 1},77233.75000000047,1,0
2025-06-30,971.2500000000033,3,"{'StopLoss': 2, 'Exit': 1}",78205.00000000047,2,1
2025-07-01,5218.75,1,{'Exit': 1},83423.75000000047,1,0
2025-07-02,1709.9999999999945,6,"{'StopLoss': 5, 'Exit': 1}",85133.75000000047,5,1
2025-07-03,939.9999999999945,10,"{'StopLoss': 9, 'TakeProfit': 1}",86073.75000000047,6,4
