datetime,close_ce,close_pe,MinutePnL,CumulativePnL
2025-10-24 09:20:00,147.9,75.75,0.0,0.0
2025-10-24 09:21:00,159.25,70.4,-6.0,-450.0
2025-10-24 09:22:00,160.25,72.15,-8.75,-656.25
2025-10-24 09:23:00,159.7,73.15,-9.199999999999989,-689.9999999999991
2025-10-24 09:24:00,168.25,69.7,-14.299999999999983,-1072.4999999999986
2025-10-24 09:25:00,171.2,69.8,-17.349999999999994,-1301.2499999999995
2025-10-24 09:26:00,165.2,73.8,-15.349999999999994,-1151.2499999999995
2025-10-24 09:27:00,160.8,74.9,-12.050000000000011,-903.7500000000009
2025-10-24 09:28:00,172.5,70.1,-18.94999999999999,-1421.249999999999
2025-10-24 09:29:00,173.85,68.35,-18.549999999999983,-1391.2499999999986
2025-10-24 09:30:00,167.25,71.5,-15.099999999999994,-1132.4999999999995
2025-10-24 09:31:00,168.5,71.1,-15.949999999999989,-1196.249999999999
2025-10-24 09:32:00,167.0,71.45,-14.799999999999983,-1109.9999999999986
2025-10-24 09:33:00,169.0,69.5,-14.849999999999994,-1113.7499999999995
2025-10-24 09:34:00,168.0,70.1,-14.449999999999989,-1083.749999999999
2025-10-24 09:35:00,163.4,72.3,-12.049999999999983,-903.7499999999987
2025-10-24 09:36:00,168.2,69.15,-13.699999999999989,-1027.499999999999
2025-10-24 09:37:00,184.4,62.05,-22.799999999999983,-1709.9999999999986
2025-10-24 09:38:00,190.1,59.9,-26.349999999999994,-1976.2499999999995
