date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL
2024-12-27,0,23827.5,23850,185.2,168.05,234.25,114.8,315.0000000000002,184.99999999999787,StopLoss,2024-12-27 09:20:00,2024-12-27 09:56:00,2025-01-02,Friday,,184.99999999999787
2024-12-27,1,23919.55,23900,196.55,134.6,136.75,168.8,1919.9999999999995,1789.9999999999961,StopLoss,2024-12-27 10:01:00,2024-12-27 12:18:00,2025-01-02,Friday,,1974.999999999994
2024-12-27,2,23833.4,23850,161.85,141.7,154.0,125.85,1777.499999999999,1647.4999999999968,Exit,2024-12-27 12:23:00,2024-12-27 15:20:00,2025-01-02,Friday,,3622.499999999991
2024-12-30,0,23793.65,23800,128.8,127.0,163.1,93.85,-86.2499999999983,-216.24999999999957,StopLoss,2024-12-30 09:20:00,2024-12-30 10:48:00,2025-01-02,Monday,,-216.24999999999957
2024-12-30,1,23833.45,23850,133.8,113.25,101.7,149.5,-311.2499999999994,-441.2500000000006,StopLoss,2024-12-30 10:53:00,2024-12-30 11:03:00,2025-01-02,Monday,,-657.5000000000002
2024-12-30,2,23780.3,23800,126.55,123.15,168.5,93.65,-933.7500000000002,-1063.7500000000005,StopLoss,2024-12-30 11:08:00,2024-12-30 11:30:00,2025-01-02,Monday,,-1721.2500000000007
2024-12-30,3,23847.6,23850,157.3,102.55,145.05,141.65,-2013.7500000000007,-2143.750000000003,StopLoss,2024-12-30 11:35:00,2024-12-30 12:27:00,2025-01-02,Monday,,-3865.0000000000036
2024-12-30,4,23826.45,23850,120.85,154.8,97.6,196.4,-1376.2499999999995,-1506.250000000001,StopLoss,2024-12-30 12:32:00,2024-12-30 13:30:00,2025-01-02,Monday,,-5371.2500000000055
2024-12-30,5,23724.05,23700,155.3,132.65,131.6,167.4,-828.7499999999987,-958.7500000000022,StopLoss,2024-12-30 13:35:00,2024-12-30 13:54:00,2025-01-02,Monday,,-6330.000000000007
2024-12-30,6,23643.9,23650,159.45,128.1,164.65,102.3,1544.9999999999984,1414.9999999999973,Exit,2024-12-30 13:59:00,2024-12-30 15:20:00,2025-01-02,Monday,,-4915.00000000001
2024-12-31,0,23562.4,23550,137.9,116.8,118.6,146.0,-742.4999999999993,-872.5000000000007,StopLoss,2024-12-31 09:20:00,2024-12-31 09:48:00,2025-01-02,Tuesday,,-872.5000000000007
2024-12-31,1,23511.85,23500,147.05,115.7,184.3,97.1,-1398.7499999999993,-1528.7500000000007,StopLoss,2024-12-31 09:53:00,2024-12-31 10:26:00,2025-01-02,Tuesday,,-2401.2500000000014
2024-12-31,2,23543.3,23550,139.3,130.0,178.65,110.85,-1514.999999999999,-1645.0000000000016,StopLoss,2024-12-31 10:31:00,2024-12-31 10:53:00,2025-01-02,Tuesday,,-4046.2500000000027
2024-12-31,3,23571.05,23550,177.8,110.3,225.8,80.25,-1346.2500000000002,-1476.2500000000016,StopLoss,2024-12-31 10:58:00,2024-12-31 13:39:00,2025-01-02,Tuesday,,-5522.500000000005
2024-12-31,4,23647.2,23650,153.85,123.5,155.1,110.75,862.5,732.4999999999987,Exit,2024-12-31 13:44:00,2024-12-31 15:20:00,2025-01-02,Tuesday,,-4790.0000000000055
2025-01-01,0,23660.85,23650,124.55,110.9,114.4,143.0,-1646.2500000000002,-1776.2500000000005,StopLoss,2025-01-01 09:20:00,2025-01-01 09:43:00,2025-01-02,Wednesday,,-1776.2500000000005
2025-01-01,1,23602.6,23600,126.6,122.7,166.8,96.65,-1061.2500000000016,-1191.2500000000018,StopLoss,2025-01-01 09:48:00,2025-01-01 10:12:00,2025-01-02,Wednesday,,-2967.5000000000023
2025-01-01,2,23635.55,23650,128.9,120.95,168.2,100.45,-1409.9999999999986,-1540.0,StopLoss,2025-01-01 10:17:00,2025-01-01 10:47:00,2025-01-02,Wednesday,,-4507.500000000002
2025-01-01,3,23673.7,23650,214.75,86.1,207.95,68.15,1856.25,1726.2499999999986,Exit,2025-01-01 10:52:00,2025-01-01 15:20:00,2025-01-02,Wednesday,,-2781.2500000000036
2025-01-02,0,23765.1,23750,128.35,104.55,161.8,65.9,389.99999999999807,259.9999999999968,StopLoss,2025-01-02 09:20:00,2025-01-02 09:42:00,2025-01-02,Thursday,,259.9999999999968
2025-01-02,1,23834.5,23850,89.45,113.0,116.9,85.25,22.499999999999787,-107.49999999999936,StopLoss,2025-01-02 09:47:00,2025-01-02 10:12:00,2025-01-02,Thursday,,152.49999999999744
2025-01-02,2,23869.3,23850,112.1,86.45,144.6,66.0,-903.7499999999998,-1033.75,StopLoss,2025-01-02 10:17:00,2025-01-02 10:49:00,2025-01-02,Thursday,,-881.2500000000025
2025-01-02,3,23913.9,23900,116.05,80.05,161.55,50.95,-1230.0000000000016,-1360.0000000000018,StopLoss,2025-01-02 10:54:00,2025-01-02 12:25:00,2025-01-02,Thursday,,-2241.2500000000045
2025-01-02,4,23998.95,24000,120.6,76.75,129.45,26.8,3082.5000000000005,2952.5,TakeProfit,2025-01-02 12:30:00,2025-01-02 13:08:00,2025-01-02,Thursday,,711.2499999999955
2025-01-03,0,24169.25,24150,186.85,177.4,149.95,226.05,-881.25,-1011.2500000000034,StopLoss,2025-01-03 09:20:00,2025-01-03 09:44:00,2025-01-09,Friday,,-1011.2500000000034
2025-01-03,1,24083.4,24100,169.65,201.6,114.35,208.6,3622.500000000001,3492.4999999999986,Exit,2025-01-03 09:49:00,2025-01-03 15:20:00,2025-01-09,Friday,,2481.2499999999955
2025-01-06,0,24022.4,24000,150.1,150.15,130.35,196.25,-1976.2499999999995,-2106.250000000003,StopLoss,2025-01-06 09:20:00,2025-01-06 09:35:00,2025-01-09,Monday,,-2106.250000000003
2025-01-06,1,24008.55,24000,129.4,208.3,161.9,162.15,1023.7500000000005,893.749999999997,StopLoss,2025-01-06 09:40:00,2025-01-06 10:01:00,2025-01-09,Monday,,-1212.5000000000061
2025-01-06,2,24009.25,24000,159.5,164.6,113.25,206.25,344.99999999999955,214.99999999999721,StopLoss,2025-01-06 10:06:00,2025-01-06 10:37:00,2025-01-09,Monday,,-997.5000000000089
