date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2024-12-27,3622.499999999991,3,"{'StopLoss': 2, 'Exit': 1}",3622.499999999991,3,0
2024-12-30,-4915.00000000001,7,"{'StopLoss': 6, 'Exit': 1}",-1292.500000000019,1,6
2024-12-31,-4790.0000000000055,5,"{'StopLoss': 4, 'Exit': 1}",-6082.500000000025,1,4
2025-01-01,-2781.2500000000036,4,"{'StopLoss': 3, 'Exit': 1}",-8863.75000000003,1,3
2025-01-02,711.2499999999955,5,"{'StopLoss': 4, 'TakeProfit': 1}",-8152.500000000034,2,3
2025-01-03,2481.2499999999955,2,"{'StopLoss': 1, 'Exit': 1}",-5671.250000000038,1,1
2025-01-06,-10645.000000000031,10,"{'StopLoss': 9, 'Exit': 1}",-16316.25000000007,3,7
2025-01-07,6484.999999999998,1,{'Exit': 1},-9831.250000000071,1,0
2025-01-08,1676.2500000000036,6,"{'StopLoss': 5, 'Exit': 1}",-8155.000000000067,3,3
2025-01-09,2147.5000000000005,2,"{'StopLoss': 1, 'TakeProfit': 1}",-6007.500000000067,1,1
2025-01-10,867.4999999999862,4,"{'StopLoss': 3, 'Exit': 1}",-5140.000000000081,3,1
2025-01-13,4531.249999999991,4,"{'StopLoss': 3, 'Exit': 1}",-608.75000000009,4,0
2025-01-14,1246.25,4,"{'StopLoss': 3, 'Exit': 1}",637.49999999991,3,1
2025-01-15,271.25000000000387,7,"{'StopLoss': 6, 'Exit': 1}",908.7499999999138,3,4
2025-01-16,1387.5,3,"{'StopLoss': 2, 'TakeProfit': 1}",2296.2499999999136,2,1
2025-01-17,-805.00000000001,4,"{'StopLoss': 3, 'Exit': 1}",1491.2499999999036,1,3
2025-01-20,978.7499999999919,3,"{'StopLoss': 2, 'Exit': 1}",2469.9999999998954,2,1
2025-01-21,-12331.25000000002,11,{'StopLoss': 11},-9861.250000000124,2,9
2025-01-22,4763.750000000001,1,{'TakeProfit': 1},-5097.500000000123,1,0
2025-01-23,-908.7499999999992,2,"{'StopLoss': 1, 'TakeProfit': 1}",-6006.250000000122,1,1
2025-01-24,666.249999999986,5,"{'StopLoss': 4, 'Exit': 1}",-5340.0000000001355,2,3
2025-01-27,794.9999999999886,3,"{'StopLoss': 2, 'Exit': 1}",-4545.000000000147,1,2
2025-01-28,-3331.2500000000095,5,"{'StopLoss': 4, 'Exit': 1}",-7876.250000000156,2,3
2025-01-29,-7242.500000000012,5,"{'StopLoss': 4, 'Exit': 1}",-15118.750000000167,1,4
2025-01-30,6120.000000000001,3,"{'StopLoss': 2, 'TakeProfit': 1}",-8998.750000000167,2,1
2025-01-31,5289.999999999998,2,"{'StopLoss': 1, 'Exit': 1}",-3708.750000000169,2,0
2025-02-03,1714.9999999999982,1,{'Exit': 1},-1993.750000000171,1,0
2025-02-04,-1420.0000000000073,7,"{'StopLoss': 6, 'Exit': 1}",-3413.7500000001783,2,5
2025-02-05,1085.0000000000011,1,{'Exit': 1},-2328.7500000001774,1,0
2025-02-06,2583.7500000000027,3,"{'StopLoss': 2, 'TakeProfit': 1}",254.99999999982538,1,2
2025-02-07,6773.749999999995,1,{'Exit': 1},7028.749999999821,1,0
2025-02-10,2537.499999999992,2,"{'StopLoss': 1, 'Exit': 1}",9566.249999999813,2,0
2025-02-11,-42.50000000000384,5,"{'StopLoss': 4, 'Exit': 1}",9523.749999999809,1,4
2025-02-12,-7100.000000000003,11,{'StopLoss': 11},2423.7499999998063,3,8
2025-02-13,4103.750000000003,4,"{'StopLoss': 3, 'TakeProfit': 1}",6527.499999999809,3,1
2025-02-14,-361.2500000000174,5,"{'StopLoss': 4, 'Exit': 1}",6166.249999999792,2,3
2025-02-17,-2160.0000000000155,6,"{'StopLoss': 5, 'Exit': 1}",4006.2499999997763,2,4
2025-02-18,4556.249999999993,3,"{'StopLoss': 2, 'Exit': 1}",8562.499999999769,3,0
2025-02-19,1168.750000000006,8,"{'StopLoss': 7, 'Exit': 1}",9731.249999999774,6,2
